,X,Y,Z,Detector
0,1.14905,-0.31000,-0.16617,2
1,1.14905,-0.93000,-0.16617,2
2,1.14905,-1.58000,-0.16617,2
3,1.14905,-2.20000,-0.16617,2
4,1.14905,-2.82000,-0.16617,2
5,1.14905,-3.44000,-0.16617,2
6,1.14905,0.31000,-0.16617,2
7,1.14905,0.93000,-0.16617,2
8,1.14905,1.58000,-0.16617,2
9,1.14905,2.20000,-0.16617,2
10,1.14905,2.82000,-0.16617,2
11,1.14905,3.44000,-0.16617,2
12,4.52053,-0.31000,-0.34436,1
13,4.52053,-0.93000,-0.34436,1
14,4.52053,-1.58000,-0.34436,1
15,4.52053,-2.20000,-0.34436,1
16,4.52053,-2.82000,-0.34436,1
17,4.52053,-3.44000,-0.34436,1
18,4.52053,0.31000,-0.34436,1
19,4.52053,0.93000,-0.34436,1
20,4.52053,1.58000,-0.34436,1
21,4.52053,2.20000,-0.34436,1
22,4.52053,2.82000,-0.34436,1
23,4.52053,3.44000,-0.34436,1
24,1.60867,-0.31000,-0.62579,2
25,1.60867,-0.93000,-0.62579,2
26,1.60867,-1.58000,-0.62579,2
27,1.60867,-2.20000,-0.62579,2
28,1.60867,-2.82000,-0.62579,2
29,1.60867,-3.44000,-0.62579,2
30,1.60867,0.31000,-0.62579,2
31,1.60867,0.93000,-0.62579,2
32,1.60867,1.58000,-0.62579,2
33,1.60867,2.20000,-0.62579,2
34,1.60867,2.82000,-0.62579,2
35,1.60867,3.44000,-0.62579,2
36,-0.81317,0.00000,-0.81317,3
37,4.88116,0.00000,-0.85065,3
38,2.04707,-0.31000,-1.06420,2
39,2.04707,-0.93000,-1.06420,2
40,2.04707,-1.58000,-1.06420,2
41,2.04707,-2.20000,-1.06420,2
42,2.04707,-2.82000,-1.06420,2
43,2.04707,-3.44000,-1.06420,2
44,2.04707,0.31000,-1.06420,2
45,2.04707,0.93000,-1.06420,2
46,2.04707,1.58000,-1.06420,2
47,2.04707,2.20000,-1.06420,2
48,2.04707,2.82000,-1.06420,2
49,2.04707,3.44000,-1.06420,2
50,2.48548,-0.31000,-1.50260,2
51,2.48548,-0.93000,-1.50260,2
52,2.48548,-1.58000,-1.50260,2
53,2.48548,-2.20000,-1.50260,2
54,2.48548,-2.82000,-1.50260,2
55,2.48548,-3.44000,-1.50260,2
56,2.48548,0.31000,-1.50260,2
57,2.48548,0.93000,-1.50260,2
58,2.48548,1.58000,-1.50260,2
59,2.48548,2.20000,-1.50260,2
